median,mean,date
-0.6,-1.8954545454545455,2021-01-01
-1.8,-1.9552238805970152,2021-01-02
0.6,-0.7907692307692309,2021-01-03
0.3,-0.7712121212121211,2021-01-04
-3.8,-3.6611940298507455,2021-01-05
-5.1,-5.168115942028986,2021-01-06
-6.5,-7.065217391304347,2021-01-07
-6.6,-8.447692307692307,2021-01-08
-11.1,-10.974242424242423,2021-01-09
-6.6,-8.543283582089554,2021-01-10
-2.1,-6.683582089552238,2021-01-11
-9.5,-11.707462686567162,2021-01-12
-11.1,-14.214925373134323,2021-01-13
-12.9,-16.22539682539682,2021-01-14
-12.8,-15.380303030303034,2021-01-15
-12.3,-15.365624999999998,2021-01-16
-17.1,-16.27424242424242,2021-01-17
-15.0,-13.786567164179102,2021-01-18
-9.7,-10.158208955223879,2021-01-19
-10.2,-8.266666666666667,2021-01-20
-7.1,-6.706060606060606,2021-01-21
-3.5,-4.020588235294118,2021-01-22
-2.3,-2.4545454545454546,2021-01-23
-0.9,-1.4606060606060607,2021-01-24
-1.0,-1.7984848484848484,2021-01-25
0.3,-1.3691176470588236,2021-01-26
0.2,-1.317391304347826,2021-01-27
-2.7,-3.775714285714285,2021-01-28
-5.8,-5.136363636363636,2021-01-29
-5.5,-4.338571428571429,2021-01-30
-2.4,-2.463235294117647,2021-01-31
-2.0,-1.8104477611940295,2021-02-01
-3.9,-3.7121212121212124,2021-02-02
-3.8,-5.77076923076923,2021-02-03
-5.4,-6.4671875000000005,2021-02-04
-4.6,-5.589705882352941,2021-02-05
-5.2,-5.883823529411765,2021-02-06
-5.6,-6.839130434782608,2021-02-07
-9.5,-8.97205882352941,2021-02-08
-7.0,-7.371641791044777,2021-02-09
-3.7,-4.04776119402985,2021-02-10
-2.3,-2.623529411764706,2021-02-11
-3.3,-6.86268656716418,2021-02-12
-7.3,-8.284615384615385,2021-02-13
-12.9,-10.903125,2021-02-14
-8.9,-8.2453125,2021-02-15
